train:0.5936520181099574	 val:0.6183188369224469
train:0.23151093538602194	 val:0.2260361217111349
train:0.2105312913407882	 val:0.20391036984324457
train:0.20357899252076944	 val:0.19806016557912032
train:0.19498202240467072	 val:0.18915790576736133
train:0.18534980750083924	 val:0.17929193310439587
train:0.18345022180924814	 val:0.1772575898418824
train:0.18585207790136338	 val:0.17990816590189934
train:0.1832083946367105	 val:0.1773092594097058
train:0.17759961185852688	 val:0.1706122531890869
train:0.17708515714357298	 val:0.16953657324115434
train:0.17944972883413235	 val:0.1722374121695757
train:0.17809474224597216	 val:0.17046842107673485
train:0.17478697625547648	 val:0.16666705818970998
train:0.17458647897094487	 val:0.16658372468749683
train:0.1766087878594796	 val:0.16852966457605362
train:0.176090394337972	 val:0.16790061688423158
train:0.172870850118498	 val:0.16425503632922966
train:0.1730812838897109	 val:0.16416517761349678
train:0.1751814423004786	 val:0.16670315904915334
train:0.17461766560624042	 val:0.16599488000075022
