train:0.6685495440115531	 val:0.7007020784169435
train:0.23592974783976872	 val:0.2285367524822553
train:0.21585519174238046	 val:0.20934934012591838
train:0.21102828064064186	 val:0.20581181938449541
train:0.20239874841769537	 val:0.1970703312754631
train:0.19139139488587778	 val:0.18612789224584897
train:0.18843795668333768	 val:0.1835680756966273
train:0.19014772367477417	 val:0.18559038174649078
train:0.18678690606852372	 val:0.18149975655972958
train:0.18116507392873366	 val:0.1756143372853597
train:0.18024370096623898	 val:0.17453536609311898
train:0.1821766294216116	 val:0.17652838243047397
train:0.1805795171832045	 val:0.17499174006779988
train:0.17598098893215258	 val:0.16904967517654101
train:0.17597989725818236	 val:0.16858939254283906
train:0.17799426982055108	 val:0.17099913308024406
train:0.17699683927247922	 val:0.1698202864776055
