train:3.6861976951945064	 val:3.3573770599037993
train:1.2842198785613566	 val:1.3515017557711828
train:0.9778464759180859	 val:1.0902469985040963
train:0.9851429396901143	 val:1.1092435619076426
train:0.981196601559468	 val:1.1037955743258072
train:0.8366744407251769	 val:0.9781017122732825
train:0.8988497996029734	 val:1.0321856576438044
train:0.87922521277803	 val:1.0010369175038083
train:0.7745977289953819	 val:0.9094247297496021
train:0.8446910090389705	 val:0.9693582093431836
train:0.784197788821215	 val:0.922576924916409
train:0.7184457502194813	 val:0.8666800565245438
train:0.7929470817915866	 val:0.9315312253493889
train:0.705759577766186	 val:0.8511763976819041
train:0.685292180971939	 val:0.8385945221706599
train:0.7409028876103273	 val:0.8798828913050205
train:0.6419118021507891	 val:0.79497441611871
train:0.6642655482312211	 val:0.81791697112786
train:0.6983300320783249	 val:0.8455434366434562
train:0.5979798593941856	 val:0.7675645169423742
train:0.6538469805395236	 val:0.820147773965734
train:0.6535925192951488	 val:0.8234520087055132
train:0.5705487493331692	 val:0.7716942114823339
train:0.6454976085020381	 val:0.8321020704608003
train:0.609399070968481	 val:0.8082086186365587
train:0.5549838145365235	 val:0.7761100464675272
train:0.6336461835089517	 val:0.8296263659534668
train:0.5666131812567804	 val:0.7741854423735323
train:0.5479288556370414	 val:0.7755918624688264
train:0.6126609375538612	 val:0.8119322249368459
train:0.5291238546747119	 val:0.7524975867999368
train:0.5513648869944554	 val:0.7827878544727961
train:0.5887381336769136	 val:0.8014986738771284
train:0.5037367417364895	 val:0.7574285639851701
train:0.555213962470283	 val:0.7916294904399652
train:0.560457673184678	 val:0.8011880921048611
train:0.4876581237387924	 val:0.7581797990144468
train:0.5595067355687878	 val:0.8048601157608486
train:0.5292523052094698	 val:0.7798674624590647
train:0.48031922594672827	 val:0.7527497049723687
train:0.5547767352072799	 val:0.8051722742178861
train:0.4999031748633091	 val:0.7679780997148081
train:0.4829314148225704	 val:0.7641025613002083
train:0.5461810725201078	 val:0.8013235748398537
