train:7.56482062766365	 val:7.401916224332083
train:1.0804242520105272	 val:1.176029284920345
train:0.7456003987238187	 val:0.7980449943064976
train:0.735821479383637	 val:0.787699224359515
train:0.7103257196791032	 val:0.7538655295508916
train:0.5725709819117514	 val:0.6133515183665171
train:0.6137833669781685	 val:0.652560941854111
train:0.588466435399543	 val:0.6253318375900012
train:0.5047887271108413	 val:0.5460172293065977
train:0.5633098507712201	 val:0.6024617315256963
train:0.5211664778219551	 val:0.5612771231837633
train:0.4741422909231079	 val:0.5202161069928097
train:0.5353471180971932	 val:0.5740229611595472
train:0.47504409984881135	 val:0.5158213761006417
train:0.46124201015431004	 val:0.5039812537426708
train:0.509023454760303	 val:0.5475506660024992
train:0.44177227682259235	 val:0.483140365645832
train:0.45780291462562334	 val:0.4993973201772078
train:0.4849806686743301	 val:0.5244237533053097
train:0.4208217922921608	 val:0.46196875120160963
train:0.4590728917584366	 val:0.49895032774917886
train:0.4614124130301115	 val:0.4998030815930927
train:0.4099452925287709	 val:0.45111164538299336
train:0.46019085079264577	 val:0.4986372980959609
train:0.438225747886993	 val:0.47898224872701306
train:0.406928316676984	 val:0.44719132528502065
train:0.4601040893868238	 val:0.4979527184859711
train:0.4191770704896176	 val:0.4565401572932382
train:0.40939758035565627	 val:0.44972305104178206
train:0.4530319167661066	 val:0.4921109517123185
train:0.40340031026040807	 val:0.4425381372581009
train:0.4173755532636696	 val:0.4574161586182124
train:0.4437383712172842	 val:0.4809639065706429
train:0.39290365230302515	 val:0.4312114626461384
train:0.4253056587374845	 val:0.46247428002394214
train:0.43161198590733424	 val:0.4666242435240612
train:0.3880105177018823	 val:0.42613073580321814
train:0.4324651108193798	 val:0.4697752566564651
train:0.41617869281050873	 val:0.4527924766226643
train:0.38784154170618	 val:0.4267305296425726
train:0.4346892115156524	 val:0.47137877478652973
train:0.402550803638306	 val:0.43882248859529066
train:0.39352633294855516	 val:0.4320976209907639
train:0.4326866976186341	 val:0.46875473161955844
train:0.38983674871237006	 val:0.42629523270604325
train:0.40209571363962665	 val:0.43760793340974163
train:0.4271600508347613	 val:0.4623851341610195
train:0.38221210654543225	 val:0.4189519845262295
train:0.41105148847363576	 val:0.44647022674814996
train:0.41784420987220705	 val:0.45154888101485596
train:0.37886738090538513	 val:0.41504105787818174
train:0.4185590112284452	 val:0.4533500539697185
train:0.40537897656027344	 val:0.43940434778103976
train:0.3794375016283588	 val:0.41665202844627097
train:0.4223585248995228	 val:0.4568524365665532
train:0.3934024975997727	 val:0.42764296380578637
train:0.38487274267551613	 val:0.4208708968983979
train:0.421848307136728	 val:0.4551500174052575
train:0.3832283881323344	 val:0.4178592185763752
train:0.3941621403275084	 val:0.42829352387694086
train:0.4179423944372423	 val:0.4513264516112851
train:0.3768430358263291	 val:0.4107434099294892
