train:10.53355928211987	 val:9.360928775633083
train:1.7873771283723392	 val:1.8051226823603739
train:1.1911153265742027	 val:1.252510803879476
train:1.1606753706848587	 val:1.2240958597396268
train:1.1001973895549106	 val:1.1534931207654857
train:0.9339557006662967	 val:1.0112772801426613
train:0.9966337068074224	 val:1.0715598843428267
train:0.927980534586252	 val:1.0060271519322355
train:0.8176585344874224	 val:0.9008433521211314
train:0.8824767262077465	 val:0.9622068931909502
train:0.8098466200154034	 val:0.8917366239537045
train:0.7471722961306906	 val:0.8305103674906642
train:0.8064596067373159	 val:0.8860115212719647
train:0.7311437065486147	 val:0.8106230967352036
train:0.7144180041025666	 val:0.79242988473394
train:0.7600688589136807	 val:0.833293980451859
train:0.6726137070136577	 val:0.743653467264162
train:0.6899644839955645	 val:0.7610027549647483
train:0.7098210818585562	 val:0.7794473983493506
train:0.6301894824461443	 val:0.7056343499101511
train:0.6713012919163838	 val:0.7457708101145694
train:0.6623709951670897	 val:0.7374106469441529
train:0.598880181167306	 val:0.6760104526909125
train:0.6570793564955727	 val:0.7294613656376591
train:0.6219358389743236	 val:0.6941111637096778
train:0.5771330226452744	 val:0.6490927308964796
train:0.6362613275939343	 val:0.7024555239690786
train:0.5820531242994034	 val:0.6506198610411305
train:0.5679558901434519	 val:0.6383570228137222
train:0.6171357460758266	 val:0.682986066287973
train:0.551149720759118	 val:0.6196195859284628
train:0.5643160916885742	 val:0.633666710901995
train:0.5916369842464516	 val:0.6584453071031918
train:0.5214874467888132	 val:0.5952677775581344
train:0.5583298763348943	 val:0.6298310648159486
train:0.5591077088307934	 val:0.6309076808497351
train:0.5006818819571944	 val:0.581751900247666
train:0.5540313774547657	 val:0.6313853543930027
train:0.5262393644836103	 val:0.6067716587407916
train:0.4873637070759338	 val:0.5737584734580764
train:0.5444884133480844	 val:0.6251326187485072
train:0.4992906656168422	 val:0.584656693521334
train:0.4860865217672677	 val:0.5741976478270122
train:0.5312857744114405	 val:0.612549094342384
train:0.4743164316529319	 val:0.5590826086386913
train:0.4899795509102632	 val:0.5744795232635587
train:0.515859634811137	 val:0.5982397748809569
train:0.45699623846957665	 val:0.5429878859710293
train:0.4891855026952693	 val:0.5736983699583206
train:0.49622253194993954	 val:0.5750728996903622
train:0.4433286722217287	 val:0.5269174215589919
train:0.49120637071149353	 val:0.5683390991944893
train:0.47247164562887173	 val:0.5487461826380562
train:0.43736282053614867	 val:0.5196964555010408
train:0.4889249825010113	 val:0.5646581252415975
train:0.45138162752242983	 val:0.530166156548245
train:0.4396148383492181	 val:0.52003216144501
train:0.4847022089846328	 val:0.5617155168069845
train:0.43408422422509235	 val:0.5135146115465659
train:0.44523856471650075	 val:0.5252701880968585
train:0.47467586032900155	 val:0.5514066492726489
train:0.4206309032623841	 val:0.5023764151902426
train:0.4524797372916499	 val:0.5316956776405583
train:0.45926947595358564	 val:0.5381130223431173
train:0.41296150925613584	 val:0.4956643519406559
train:0.4588534020367457	 val:0.5366610970859435
train:0.4424567925287228	 val:0.521824828028178
train:0.4110623185916775	 val:0.4942387377305859
train:0.459394869141552	 val:0.5358325636395219
train:0.42610629182569787	 val:0.5036770847080803
train:0.41404004315702186	 val:0.4938994778179321
train:0.4594434535219556	 val:0.5351584344810131
train:0.41196513708148685	 val:0.49063645822911706
train:0.4223672083946837	 val:0.49971992900224627
train:0.44956762097379405	 val:0.5249882939608157
train:0.40028385200253386	 val:0.4786058686652771
train:0.43013172511126146	 val:0.5065914741417273
train:0.44030247094417485	 val:0.5124945235895175
train:0.3942238561579493	 val:0.47127865192269075
train:0.4373488887017514	 val:0.511450055892728
train:0.42405600718506914	 val:0.49706819219415593
train:0.39233794100895647	 val:0.4718486217766249
train:0.4403408393263817	 val:0.5126497221886277
train:0.4088400154262364	 val:0.48192408701785805
train:0.3968920928715658	 val:0.473963661395869
train:0.43870523058566724	 val:0.5128627778435287
train:0.3948420401589543	 val:0.46995616240912125
train:0.4044069108613232	 val:0.47969993719366755
train:0.4327163054119973	 val:0.5071068751711806
train:0.38473877344144825	 val:0.46129383887646913
train:0.4126120608936505	 val:0.48767426766517785
train:0.4224577246009469	 val:0.49594961002427324
train:0.37912020279245884	 val:0.45698173087434607
train:0.4205472590375681	 val:0.49555730099688056
train:0.4081541073589432	 val:0.4799939146270605
train:0.37786650630522844	 val:0.4545265736700106
train:0.42438956375132086	 val:0.49632187250281584
train:0.39434804621280406	 val:0.46777953750112145
train:0.3816757881048681	 val:0.45682915348131786
train:0.4226273747385383	 val:0.49477706073212024
train:0.38093085200930177	 val:0.45618285574749406
train:0.3889474292763141	 val:0.4641347641871423
train:0.4173564339051394	 val:0.48896207220080184
train:0.3708347778986482	 val:0.446322124336614
train:0.3979720197179738	 val:0.47169265151023865
train:0.4075959489709523	 val:0.47926890109183073
train:0.3647513924589177	 val:0.44076155990111726
train:0.4059388913861176	 val:0.4784709754653004
train:0.393965263222279	 val:0.46696423305099416
train:0.3636192591751323	 val:0.4409695080682343
train:0.4100006813345169	 val:0.48325321773270596
train:0.380632941931987	 val:0.45518253601732706
train:0.36705140992790375	 val:0.4448204897031063
train:0.40834319222123683	 val:0.4818420026566134
train:0.3678895751802193	 val:0.4422480919155754
train:0.37584563796551956	 val:0.45060127297369373
train:0.40281973242843183	 val:0.47592969706245497
train:0.35775454063751116	 val:0.43165632546031507
train:0.384043732715421	 val:0.4550040419570872
train:0.39390008576235186	 val:0.4644986295274326
train:0.3517544756249553	 val:0.4263810827618554
train:0.38987246452092456	 val:0.45985778569340374
train:0.38072996498907313	 val:0.45209177650239957
