train:59956031457.049446	 val:29960107595.8702
train:56.11592358727386	 val:36.516832148510474
train:47.634423697513085	 val:33.5248120678335
train:44.44005586071291	 val:32.64129602128181
train:42.74764540699945	 val:35.775439087135204
train:40.106609640674314	 val:31.997512760991636
train:40.85217497507731	 val:31.779417561517246
train:40.83493340727212	 val:32.192035883751466
train:38.939574468170385	 val:31.61415841061136
