train:0.09750853071683178	 val:0.08685561142084437
train:0.013533033959825812	 val:0.013709312228548551
train:0.009405337663756093	 val:0.009515966914844614
train:0.009527144611862694	 val:0.009572563038784124
train:0.009095044427353064	 val:0.009127891920533041
train:0.007467233140545921	 val:0.007638068304916306
train:0.008105413649421633	 val:0.008187506587247179
train:0.007608833097323191	 val:0.007663054170976563
train:0.006574212031501557	 val:0.006769352285674035
train:0.007440183143436658	 val:0.007514241279340258
train:0.006642421089237979	 val:0.00681819422307479
train:0.006097995288049181	 val:0.006346447600367419
train:0.006956789154736768	 val:0.007079707341547795
train:0.006023655072277209	 val:0.006223456655936811
train:0.005948436091698352	 val:0.006158920770631034
train:0.0065679012371242795	 val:0.00668427977203561
train:0.005622325765741181	 val:0.0058156404760340095
train:0.005938817110076985	 val:0.006113543166030271
train:0.006244894805826059	 val:0.0063698064194762614
train:0.005381913003100849	 val:0.005579255032157447
train:0.005965424701245371	 val:0.0061182885760759686
train:0.005914949475140611	 val:0.006041118634162935
train:0.005257868020324407	 val:0.00545113433983323
train:0.006019456940442219	 val:0.006129865889067054
train:0.005608338234438731	 val:0.005734543763140232
train:0.005225975988615377	 val:0.005412342393684725
train:0.005948714408123505	 val:0.006045549632837938
train:0.00534903629472954	 val:0.005505019849419322
train:0.005280866317323172	 val:0.005445289049892365
train:0.005888535399498621	 val:0.005983812907966329
train:0.005151311719218786	 val:0.00529754770487933
train:0.005389741907732337	 val:0.005517541911226048
train:0.005719665610114066	 val:0.005805058394368289
train:0.005025734799667536	 val:0.00518136780320325
train:0.00551598005864837	 val:0.005622226169987657
train:0.005526667910155838	 val:0.005612463637513398
train:0.004971852020460966	 val:0.005137476224533128
train:0.00561988965040125	 val:0.005702255686995487
train:0.005299678202281531	 val:0.005417722083317737
train:0.004980333766890872	 val:0.005139177252932423
train:0.005647689106688947	 val:0.005727044390827543
train:0.005119483791916508	 val:0.0052430806163025374
train:0.005054450869763724	 val:0.005195994966099931
train:0.005590384288988381	 val:0.005669108010223266
train:0.004983778874858097	 val:0.0051103085954477935
train:0.005172540922192674	 val:0.005297956106132966
train:0.005494187085945368	 val:0.005574172670191222
train:0.0048929585515017976	 val:0.0050330849035697825
train:0.005331707391294413	 val:0.005428240433953577
train:0.005350156002241012	 val:0.005449064401061866
