train:7.459238763783826	 val:7.35846078003488
train:1.0395917084370674	 val:1.129137271592597
train:0.725715399769341	 val:0.784542668057757
train:0.7230868808486882	 val:0.7806794751508563
train:0.7035846464565488	 val:0.7567405786667886
train:0.5720130359383524	 val:0.6233817892415183
train:0.6101980259229823	 val:0.6596623134045374
train:0.5858830829210976	 val:0.6311605346469986
train:0.5032628930541647	 val:0.5494489191877407
train:0.5623342828298149	 val:0.6056865526347601
train:0.518278866901952	 val:0.5588808100180132
train:0.47189168561072575	 val:0.5164248424083913
train:0.5324933904142273	 val:0.5714626138826379
train:0.4717084461776148	 val:0.5150914569111431
train:0.45808505986918924	 val:0.5040833017363602
train:0.5066042528683398	 val:0.5483165460557831
train:0.4402160183304832	 val:0.484833035440672
train:0.4567344568941106	 val:0.5019071109029425
train:0.4838308929687455	 val:0.5274319022434766
train:0.4200719576172468	 val:0.46514197593393114
train:0.457605958235364	 val:0.5020382975121173
train:0.4620705806449348	 val:0.5047446519386869
train:0.4086147888618357	 val:0.45381629563012377
train:0.4591075137716715	 val:0.5015784886663034
train:0.4379345402956343	 val:0.4795722605175331
train:0.40493270888381977	 val:0.44903383792198004
train:0.45821975173653007	 val:0.4999923258602452
train:0.41856649213311387	 val:0.4591881245458159
train:0.4087396912923714	 val:0.4508053824639454
train:0.452345521739718	 val:0.4928899154442699
train:0.40205269402899996	 val:0.4424658559617542
train:0.41678692932639805	 val:0.45681349501138974
train:0.4430588001087934	 val:0.48138577747745676
train:0.3916747545933022	 val:0.43153826850636
train:0.4238740145033147	 val:0.46388897610729146
train:0.43079467579012826	 val:0.4681065808199033
train:0.3864474434102951	 val:0.42528109321323765
train:0.4301372055037349	 val:0.4674671637494357
train:0.4148667905928374	 val:0.45089927242667066
train:0.3868096184496786	 val:0.42716484802777693
train:0.4332725045059909	 val:0.47066038277219324
train:0.40045841766589163	 val:0.43780377098158296
train:0.39226317176130976	 val:0.4320981558881888
train:0.4319021071748239	 val:0.46878623440653
train:0.38959556809660434	 val:0.42677650164489317
train:0.4005127022622012	 val:0.43904128391034797
train:0.4256294619093756	 val:0.46301148441575823
train:0.38077114098796655	 val:0.4191830837551285
train:0.40989756698952334	 val:0.4482026238526617
train:0.41600284472900945	 val:0.45213472273419886
train:0.377341367387805	 val:0.4152574056879479
train:0.4168122103359519	 val:0.4549593389117751
train:0.40341893781800897	 val:0.4398967325270009
train:0.3780727825787555	 val:0.41680056395150034
train:0.4206530540680685	 val:0.45622774079984646
train:0.3916545431090503	 val:0.4272745205532937
train:0.3838300975013514	 val:0.4215618286605309
train:0.42077332027569536	 val:0.458025729268038
train:0.3819353797939979	 val:0.4177616511155911
train:0.3918623043959882	 val:0.4283020895819704
train:0.4158921149097571	 val:0.4521001667953005
train:0.37526094208077554	 val:0.41096750603002663
train:0.401372607974779	 val:0.43704422534096476
train:0.4084713523711811	 val:0.4445605255058166
train:0.37184890767648104	 val:0.4088130764642349
train:0.4088857094822478	 val:0.4450425846236093
train:0.3979113070236869	 val:0.4327953020815088
train:0.372757746788467	 val:0.4096636178405011
train:0.4132119897408646	 val:0.4496008472240606
train:0.38743923748491194	 val:0.4218249692260718
train:0.3788239055154036	 val:0.415292969709184
train:0.41464203834032815	 val:0.44964302623388813
train:0.3782011153442519	 val:0.41326756326674746
train:0.38706359098188015	 val:0.4230412733780236
train:0.41029208867239353	 val:0.4448578147118499
train:0.3717647323838803	 val:0.40732285781066957
train:0.3960055478063284	 val:0.43124129026293423
train:0.4034326631022769	 val:0.43665326900091495
train:0.3689427237008132	 val:0.40542459805138636
train:0.4028969753314467	 val:0.4386733667898913
